62,j,yard, L: 50.000000, X: 0.000000, Y: 0.000000, TDBegin: 0.000000,55,
63,k,rail, L: 100.000000, X: 0.000000, Y: -50.000000, TDBegin: 50.000000,70,
64,k,rail, L: 100.000000, X: 0.000000, Y: -150.000000, TDBegin: 150.000000,70,
65,k,station, L: 200.000000, X: 0.000000, Y: -250.000000, TDBegin: 250.000000,70,
66,k,rail, L: 200.000000, X: 0.000000, Y: -450.000000, TDBegin: 450.000000,70,
67,k,rail, L: 100.000000, X: 0.000000, Y: -650.000000, TDBegin: 650.000000,40,
68,k,rail, L: 100.000000, X: 0.000000, Y: -750.000000, TDBegin: 750.000000,40,
69,l,rail, L: 100.000000, X: 0.000000, Y: -850.000000, TDBegin: 850.000000,40,
70,l,rail, L: 100.000000, X: 0.000000, Y: -950.000000, TDBegin: 950.000000,40,
71,l,rail, L: 100.000000, X: 0.000000, Y: -1050.000000, TDBegin: 1050.000000,40,
72,l,rail, L: 100.000000, X: 0.000000, Y: -1150.000000, TDBegin: 1150.000000,40,
73,l,station, L: 100.000000, X: 0.000000, Y: -1250.000000, TDBegin: 1250.000000,40,
74,m,rail, L: 100.000000, X: -100.000000, Y: -1250.000000, TDBegin: 1350.000000,40,
75,m,rail, L: 100.000000, X: -200.000000, Y: -1250.000000, TDBegin: 1450.000000,40,
76,m,switch, L: 100.000000, X: -300.000000, Y: -1250.000000, TDBegin: 1550.000000,40,
77,n,station, L: 300.000000, X: -400.000000, Y: -1250.000000, TDBegin: 1650.000000,70,
78,n,rail, L: 300.000000, X: -700.000000, Y: -1250.000000, TDBegin: 1950.000000,70,
79,n,rail, L: 300.000000, X: -1000.000000, Y: -1250.000000, TDBegin: 2250.000000,70,
80,n,rail, L: 300.000000, X: -1300.000000, Y: -1250.000000, TDBegin: 2550.000000,70,
81,n,rail, L: 300.000000, X: -1600.000000, Y: -1250.000000, TDBegin: 2850.000000,70,
82,n,rail, L: 300.000000, X: -1900.000000, Y: -1250.000000, TDBegin: 3150.000000,70,
83,n,rail, L: 300.000000, X: -2200.000000, Y: -1250.000000, TDBegin: 3450.000000,70,
84,n,rail, L: 300.000000, X: -2500.000000, Y: -1250.000000, TDBegin: 3750.000000,70,
85,n,switch, L: 300.000000, X: -2800.000000, Y: -1250.000000, TDBegin: 4050.000000,70,
86,o,rail, L: 100.000000, X: -3100.000000, Y: -1250.000000, TDBegin: 4350.000000,25,
87,o,rail, L: 86.600000, X: -3200.000000, Y: -1250.000000, TDBegin: 4450.000000,25,
88,o,station, L: 100.000000, X: -3286.600000, Y: -1250.000000, TDBegin: 4536.600000,25,
89,p,rail, L: 75.000000, X: -3386.600000, Y: -1250.000000, TDBegin: 4636.600000,25,
90,p,rail, L: 75.000000, X: -3386.600000, Y: -1175.000000, TDBegin: 4711.600000,25,
91,p,rail, L: 75.000000, X: -3386.600000, Y: -1100.000000, TDBegin: 4786.600000,25,
92,p,rail, L: 75.000000, X: -3386.600000, Y: -1025.000000, TDBegin: 4861.600000,25,
93,p,rail, L: 75.000000, X: -3386.600000, Y: -950.000000, TDBegin: 4936.600000,25,
94,p,rail, L: 75.000000, X: -3311.600000, Y: -950.000000, TDBegin: 5011.600000,25,
95,p,rail, L: 75.000000, X: -3236.600000, Y: -950.000000, TDBegin: 5086.600000,25,
96,p,station, L: 75.000000, X: -3161.600000, Y: -950.000000, TDBegin: 5161.600000,25,
97,p,rail, L: 75.000000, X: -3086.600000, Y: -950.000000, TDBegin: 5236.600000,25,
98,q,rail, L: 75.000000, X: -3086.600000, Y: -1025.000000, TDBegin: 5311.600000,25,
99,q,rail, L: 75.000000, X: -3086.600000, Y: -1100.000000, TDBegin: 5386.600000,25,
100,q,rail, L: 75.000000, X: -3086.600000, Y: -1175.000000, TDBegin: 5461.600000,25,
85,n,switch, L: 300.000000, X: -3086.600000, Y: -1250.000000, TDBegin: 5536.600000,70,
84,n,rail, L: 300.000000, X: -3386.600000, Y: -1250.000000, TDBegin: 5836.600000,70,
83,n,rail, L: 300.000000, X: -3686.600000, Y: -1250.000000, TDBegin: 6136.600000,70,
82,n,rail, L: 300.000000, X: -3986.600000, Y: -1250.000000, TDBegin: 6436.600000,70,
81,n,rail, L: 300.000000, X: -4286.600000, Y: -1250.000000, TDBegin: 6736.600000,70,
80,n,rail, L: 300.000000, X: -4586.600000, Y: -1250.000000, TDBegin: 7036.600000,70,
79,n,rail, L: 300.000000, X: -4886.600000, Y: -1250.000000, TDBegin: 7336.600000,70,
78,n,rail, L: 300.000000, X: -5186.600000, Y: -1250.000000, TDBegin: 7636.600000,70,
77,n,station, L: 300.000000, X: -5486.600000, Y: -1250.000000, TDBegin: 7936.600000,70,
101,r,rail, L: 35.000000, X: -5786.600000, Y: -1250.000000, TDBegin: 8236.600000,26,
102,s,rail, L: 100.000000, X: -5786.600000, Y: -1215.000000, TDBegin: 8271.600000,28,
103,s,rail, L: 100.000000, X: -5686.600000, Y: -1215.000000, TDBegin: 8371.600000,28,
104,s,rail, L: 80.000000, X: -5586.600000, Y: -1215.000000, TDBegin: 8471.600000,28,
105,t,rail, L: 100.000000, X: -5506.600000, Y: -1215.000000, TDBegin: 8551.600000,28,
106,t,rail, L: 100.000000, X: -5406.600000, Y: -1215.000000, TDBegin: 8651.600000,28,
107,t,rail, L: 90.000000, X: -5406.600000, Y: -1115.000000, TDBegin: 8751.600000,28,
108,t,rail, L: 100.000000, X: -5406.600000, Y: -1025.000000, TDBegin: 8841.600000,28,
109,t,rail, L: 100.000000, X: -5406.600000, Y: -925.000000, TDBegin: 8941.600000,28,
110,u,rail, L: 100.000000, X: -5406.600000, Y: -825.000000, TDBegin: 9041.600000,30,
111,u,rail, L: 100.000000, X: -5406.600000, Y: -725.000000, TDBegin: 9141.600000,30,
112,u,rail, L: 100.000000, X: -5406.600000, Y: -625.000000, TDBegin: 9241.600000,30,
113,u,rail, L: 100.000000, X: -5406.600000, Y: -525.000000, TDBegin: 9341.600000,30,
114,u,rail, L: 162.000000, X: -5406.600000, Y: -425.000000, TDBegin: 9441.600000,30,
115,u,rail, L: 100.000000, X: -5406.600000, Y: -263.000000, TDBegin: 9603.600000,30,
116,u,rail, L: 100.000000, X: -5406.600000, Y: -163.000000, TDBegin: 9703.600000,30,
117,v,rail, L: 50.000000, X: -5406.600000, Y: -63.000000, TDBegin: 9803.600000,15,
118,v,rail, L: 50.000000, X: -5406.600000, Y: -13.000000, TDBegin: 9853.600000,15,
119,v,rail, L: 40.000000, X: -5406.600000, Y: 37.000000, TDBegin: 9903.600000,15,
120,v,rail, L: 50.000000, X: -5406.600000, Y: 77.000000, TDBegin: 9943.600000,15,
121,v,rail, L: 50.000000, X: -5406.600000, Y: 127.000000, TDBegin: 9993.600000,15,
122,w,underground, L: 50.000000, X: -5456.600000, Y: 127.000000, TDBegin: 10043.600000,20,
123,w,rail, L: 50.000000, X: -5506.600000, Y: 127.000000, TDBegin: 10093.600000,20,
124,w,underground, L: 50.000000, X: -5556.600000, Y: 127.000000, TDBegin: 10143.600000,20,
125,w,underground, L: 50.000000, X: -5606.600000, Y: 127.000000, TDBegin: 10193.600000,20,
126,w,underground, L: 50.000000, X: -5656.600000, Y: 127.000000, TDBegin: 10243.600000,20,
127,w,underground, L: 50.000000, X: -5706.600000, Y: 127.000000, TDBegin: 10293.600000,20,
128,w,underground, L: 50.000000, X: -5756.600000, Y: 127.000000, TDBegin: 10343.600000,20,
129,w,underground, L: 50.000000, X: -5806.600000, Y: 127.000000, TDBegin: 10393.600000,20,
130,w,underground, L: 50.000000, X: -5856.600000, Y: 127.000000, TDBegin: 10443.600000,20,
131,w,underground, L: 50.000000, X: -5906.600000, Y: 127.000000, TDBegin: 10493.600000,20,
132,w,#REF!, L: 50.000000, X: -5956.600000, Y: 127.000000, TDBegin: 10543.600000,20,
133,w,underground, L: 50.000000, X: -6006.600000, Y: 127.000000, TDBegin: 10593.600000,20,
134,w,underground, L: 50.000000, X: -6056.600000, Y: 127.000000, TDBegin: 10643.600000,20,
135,w,underground, L: 50.000000, X: -6106.600000, Y: 127.000000, TDBegin: 10693.600000,20,
136,w,underground, L: 50.000000, X: -6156.600000, Y: 127.000000, TDBegin: 10743.600000,20,
137,w,underground, L: 50.000000, X: -6206.600000, Y: 127.000000, TDBegin: 10793.600000,20,
138,w,underground, L: 50.000000, X: -6256.600000, Y: 127.000000, TDBegin: 10843.600000,20,
139,w,underground, L: 50.000000, X: -6306.600000, Y: 127.000000, TDBegin: 10893.600000,20,
140,w,underground, L: 50.000000, X: -6356.600000, Y: 127.000000, TDBegin: 10943.600000,20,
141,w,#REF!, L: 50.000000, X: -6406.600000, Y: 127.000000, TDBegin: 10993.600000,20,
142,w,underground, L: 50.000000, X: -6456.600000, Y: 127.000000, TDBegin: 11043.600000,20,
143,w,underground, L: 50.000000, X: -6506.600000, Y: 127.000000, TDBegin: 11093.600000,20,
144,x,rail, L: 50.000000, X: -6556.600000, Y: 127.000000, TDBegin: 11143.600000,20,
145,x,rail, L: 50.000000, X: -6606.600000, Y: 127.000000, TDBegin: 11193.600000,20,
146,x,rail, L: 50.000000, X: -6656.600000, Y: 127.000000, TDBegin: 11243.600000,20,
147,y,rail, L: 50.000000, X: -6706.600000, Y: 127.000000, TDBegin: 11293.600000,20,
148,y,rail, L: 184.000000, X: -6706.600000, Y: 177.000000, TDBegin: 11343.600000,20,
