line,branch,id,length,grade,speedLimit,type,height,direction
172
green,j,62,50,0,30,yard,0.5,south
green,k,63,100,0,70,rail,0.5,south
green,k,64,100,0,70,rail,0.5,south
green,k,65,200,0,70,station;glenbury,0.5,south
green,k,66,200,0,70,rail,0.5,south
green,k,67,100,0,40,rail,0.5,south
green,k,68,100,0,40,rail,0.5,south
green,l,69,100,0,40,rail,0.5,south
green,l,70,100,0,40,rail,0.5,south
green,l,71,100,0,40,rail,0.5,south
green,l,72,100,0,40,rail,0.5,south
green,l,73,100,0,40,station;dormont,0.5,west
green,m,74,100,0,40,rail,0.5,west
green,m,75,100,0,40,rail,0.5,west
green,m,76,100,0,40,switch(77:101),0.5,west
green,n,77,300,0,70,station;mt_lebanon,0.5,west
green,n,78,300,0,70,rail,0.5,west
green,n,79,300,0,70,rail,0.5,west
green,n,80,300,0,70,rail,0.5,west
green,n,81,300,0,70,rail,0.5,west
green,n,82,300,0,70,rail,0.5,west
green,n,83,300,0,70,rail,0.5,west
green,n,84,300,0,70,rail,0.5,west
green,n,85,300,0,70,switch(86:100),0.5,west
green,o,86,100,0,25,rail,0.5,west
green,o,87,86.6,0,25,rail,0.5,west
green,o,88,100,0,25,station;poplar,0.5,west
green,p,89,75,-0.5,25,rail,0.125,north
green,p,90,75,-1,25,rail,-0.625,north
green,p,91,75,-2,25,rail,-2.125,north
green,p,92,75,0,25,rail,-2.125,north
green,p,93,75,2,25,rail,-0.625,east
green,p,94,75,1,25,rail,0.125,east
green,p,95,75,0.5,25,rail,0.5,east
green,p,96,75,0,25,station;castle_shannon,0.5,east
green,p,97,75,0,25,rail,0.5,south
green,q,98,75,0,25,rail,0.5,south
green,q,99,75,0,25,rail,0.5,south
green,q,100,75,0,25,rail,0.5,south
green,n,85,300,0,70,switch(86:100),0.5,west
green,n,84,300,0,70,rail,0.5,west
green,n,83,300,0,70,rail,0.5,west
green,n,82,300,0,70,rail,0.5,west
green,n,81,300,0,70,rail,0.5,west
green,n,80,300,0,70,rail,0.5,west
green,n,79,300,0,70,rail,0.5,west
green,n,78,300,0,70,rail,0.5,west
green,n,77,300,0,70,station;mt_lebanon,0.5,west
green,r,101,35,0,26,rail,0.5,north
green,s,102,100,0,28,rail,0.5,east
green,s,103,100,0,28,rail,0.5,east
green,s,104,80,0,28,rail,0.5,east
green,t,105,100,0,28,rail,0.5,east
green,t,106,100,0,28,rail,0.5,north
green,t,107,90,0,28,rail,0.5,north
green,t,108,100,0,28,rail,0.5,north
green,t,109,100,0,28,rail,0.5,north
green,u,110,100,0,30,rail,0.5,north
green,u,111,100,0,30,rail,0.5,north
