GREEN LINE:
[62,j,yard, L: 50.000000, X: 0.000000, Y: 0.000000, TDBegin: 0.000000, TP: 0]
[63,k,rail, L: 100.000000, X: 0.000000, Y: -50.000000, TDBegin: 50.000000, TP: 0]
[64,k,rail, L: 100.000000, X: 0.000000, Y: -150.000000, TDBegin: 150.000000, TP: 0]
[65,k,station, L: 200.000000, X: 0.000000, Y: -250.000000, TDBegin: 250.000000, TP: 0]
[66,k,rail, L: 200.000000, X: 0.000000, Y: -450.000000, TDBegin: 450.000000, TP: 0]
[67,k,rail, L: 100.000000, X: 0.000000, Y: -650.000000, TDBegin: 650.000000, TP: 0]
[68,k,rail, L: 100.000000, X: 0.000000, Y: -750.000000, TDBegin: 750.000000, TP: 0]
[69,l,rail, L: 100.000000, X: 0.000000, Y: -850.000000, TDBegin: 850.000000, TP: 0]
[70,l,rail, L: 100.000000, X: 0.000000, Y: -950.000000, TDBegin: 950.000000, TP: 0]
[71,l,rail, L: 100.000000, X: 0.000000, Y: -1050.000000, TDBegin: 1050.000000, TP: 0]
[72,l,rail, L: 100.000000, X: 0.000000, Y: -1150.000000, TDBegin: 1150.000000, TP: 0]
[73,l,station, L: 100.000000, X: 0.000000, Y: -1250.000000, TDBegin: 1250.000000, TP: 0]
[74,m,rail, L: 100.000000, X: -100.000000, Y: -1250.000000, TDBegin: 1350.000000, TP: 0]
[75,m,rail, L: 100.000000, X: -200.000000, Y: -1250.000000, TDBegin: 1450.000000, TP: 0]
[76,m,switch, L: 100.000000, X: -300.000000, Y: -1250.000000, TDBegin: 1550.000000, TP: 0]
[77,n,station, L: 300.000000, X: -400.000000, Y: -1250.000000, TDBegin: 1650.000000, TP: 0]
[78,n,rail, L: 300.000000, X: -700.000000, Y: -1250.000000, TDBegin: 1950.000000, TP: 0]
[79,n,rail, L: 300.000000, X: -1000.000000, Y: -1250.000000, TDBegin: 2250.000000, TP: 0]
[80,n,rail, L: 300.000000, X: -1300.000000, Y: -1250.000000, TDBegin: 2550.000000, TP: 0]
[81,n,rail, L: 300.000000, X: -1600.000000, Y: -1250.000000, TDBegin: 2850.000000, TP: 0]
[82,n,rail, L: 300.000000, X: -1900.000000, Y: -1250.000000, TDBegin: 3150.000000, TP: 0]
[83,n,rail, L: 300.000000, X: -2200.000000, Y: -1250.000000, TDBegin: 3450.000000, TP: 0]
[84,n,rail, L: 300.000000, X: -2500.000000, Y: -1250.000000, TDBegin: 3750.000000, TP: 0]
[85,n,switch, L: 300.000000, X: -2800.000000, Y: -1250.000000, TDBegin: 4050.000000, TP: 0]
[86,o,rail, L: 100.000000, X: -3100.000000, Y: -1250.000000, TDBegin: 4350.000000, TP: 0]
[87,o,rail, L: 86.600000, X: -3200.000000, Y: -1250.000000, TDBegin: 4450.000000, TP: 0]
[88,o,station, L: 100.000000, X: -3286.600000, Y: -1250.000000, TDBegin: 4536.600000, TP: 0]
[89,p,rail, L: 75.000000, X: -3386.600000, Y: -1250.000000, TDBegin: 4636.600000, TP: 0]
[90,p,rail, L: 75.000000, X: -3386.600000, Y: -1175.000000, TDBegin: 4711.600000, TP: 0]
[91,p,rail, L: 75.000000, X: -3386.600000, Y: -1100.000000, TDBegin: 4786.600000, TP: 0]
[92,p,rail, L: 75.000000, X: -3386.600000, Y: -1025.000000, TDBegin: 4861.600000, TP: 0]
[93,p,rail, L: 75.000000, X: -3386.600000, Y: -950.000000, TDBegin: 4936.600000, TP: 0]
[94,p,rail, L: 75.000000, X: -3311.600000, Y: -950.000000, TDBegin: 5011.600000, TP: 0]
[95,p,rail, L: 75.000000, X: -3236.600000, Y: -950.000000, TDBegin: 5086.600000, TP: 0]
[96,p,station, L: 75.000000, X: -3161.600000, Y: -950.000000, TDBegin: 5161.600000, TP: 0]
[97,p,rail, L: 75.000000, X: -3086.600000, Y: -950.000000, TDBegin: 5236.600000, TP: 0]
[98,q,rail, L: 75.000000, X: -3086.600000, Y: -1025.000000, TDBegin: 5311.600000, TP: 0]
[99,q,rail, L: 75.000000, X: -3086.600000, Y: -1100.000000, TDBegin: 5386.600000, TP: 0]
[100,q,rail, L: 75.000000, X: -3086.600000, Y: -1175.000000, TDBegin: 5461.600000, TP: 0]
[85,n,switch, L: 300.000000, X: -3086.600000, Y: -1250.000000, TDBegin: 5536.600000, TP: 0]
[84,n,rail, L: 300.000000, X: -3386.600000, Y: -1250.000000, TDBegin: 5836.600000, TP: 0]
[83,n,rail, L: 300.000000, X: -3686.600000, Y: -1250.000000, TDBegin: 6136.600000, TP: 0]
[82,n,rail, L: 300.000000, X: -3986.600000, Y: -1250.000000, TDBegin: 6436.600000, TP: 0]
[81,n,rail, L: 300.000000, X: -4286.600000, Y: -1250.000000, TDBegin: 6736.600000, TP: 0]
[80,n,rail, L: 300.000000, X: -4586.600000, Y: -1250.000000, TDBegin: 7036.600000, TP: 0]
[79,n,rail, L: 300.000000, X: -4886.600000, Y: -1250.000000, TDBegin: 7336.600000, TP: 0]
[78,n,rail, L: 300.000000, X: -5186.600000, Y: -1250.000000, TDBegin: 7636.600000, TP: 0]
[77,n,station, L: 300.000000, X: -5486.600000, Y: -1250.000000, TDBegin: 7936.600000, TP: 0]
[101,r,rail, L: 35.000000, X: -5786.600000, Y: -1250.000000, TDBegin: 8236.600000, TP: 0]
[102,s,rail, L: 100.000000, X: -5786.600000, Y: -1215.000000, TDBegin: 8271.600000, TP: 0]
[103,s,rail, L: 100.000000, X: -5686.600000, Y: -1215.000000, TDBegin: 8371.600000, TP: 0]
[104,s,rail, L: 80.000000, X: -5586.600000, Y: -1215.000000, TDBegin: 8471.600000, TP: 0]
[105,t,rail, L: 100.000000, X: -5506.600000, Y: -1215.000000, TDBegin: 8551.600000, TP: 0]
[106,t,rail, L: 100.000000, X: -5406.600000, Y: -1215.000000, TDBegin: 8651.600000, TP: 0]
[107,t,rail, L: 90.000000, X: -5406.600000, Y: -1115.000000, TDBegin: 8751.600000, TP: 0]
[108,t,rail, L: 100.000000, X: -5406.600000, Y: -1025.000000, TDBegin: 8841.600000, TP: 0]
[109,t,rail, L: 100.000000, X: -5406.600000, Y: -925.000000, TDBegin: 8941.600000, TP: 0]
[110,u,rail, L: 100.000000, X: -5406.600000, Y: -825.000000, TDBegin: 9041.600000, TP: 0]
[111,u,rail, L: 100.000000, X: -5406.600000, Y: -725.000000, TDBegin: 9141.600000, TP: 0]
[112,u,rail, L: 100.000000, X: -5406.600000, Y: -625.000000, TDBegin: 9241.600000, TP: 0]
[113,u,rail, L: 100.000000, X: -5406.600000, Y: -525.000000, TDBegin: 9341.600000, TP: 0]
[114,u,rail, L: 162.000000, X: -5406.600000, Y: -425.000000, TDBegin: 9441.600000, TP: 0]
[115,u,rail, L: 100.000000, X: -5406.600000, Y: -263.000000, TDBegin: 9603.600000, TP: 0]
[116,u,rail, L: 100.000000, X: -5406.600000, Y: -163.000000, TDBegin: 9703.600000, TP: 0]
[117,v,rail, L: 50.000000, X: -5406.600000, Y: -63.000000, TDBegin: 9803.600000, TP: 0]
[118,v,rail, L: 50.000000, X: -5406.600000, Y: -13.000000, TDBegin: 9853.600000, TP: 0]
[119,v,rail, L: 40.000000, X: -5406.600000, Y: 37.000000, TDBegin: 9903.600000, TP: 0]
[120,v,rail, L: 50.000000, X: -5406.600000, Y: 77.000000, TDBegin: 9943.600000, TP: 0]
[121,v,rail, L: 50.000000, X: -5406.600000, Y: 127.000000, TDBegin: 9993.600000, TP: 0]
[122,w,underground, L: 50.000000, X: -5456.600000, Y: 127.000000, TDBegin: 10043.600000, TP: 0]
[123,w,rail, L: 50.000000, X: -5506.600000, Y: 127.000000, TDBegin: 10093.600000, TP: 0]
[124,w,underground, L: 50.000000, X: -5556.600000, Y: 127.000000, TDBegin: 10143.600000, TP: 0]
[125,w,underground, L: 50.000000, X: -5606.600000, Y: 127.000000, TDBegin: 10193.600000, TP: 0]
[126,w,underground, L: 50.000000, X: -5656.600000, Y: 127.000000, TDBegin: 10243.600000, TP: 0]
[127,w,underground, L: 50.000000, X: -5706.600000, Y: 127.000000, TDBegin: 10293.600000, TP: 0]
[128,w,underground, L: 50.000000, X: -5756.600000, Y: 127.000000, TDBegin: 10343.600000, TP: 0]
[129,w,underground, L: 50.000000, X: -5806.600000, Y: 127.000000, TDBegin: 10393.600000, TP: 0]
[130,w,underground, L: 50.000000, X: -5856.600000, Y: 127.000000, TDBegin: 10443.600000, TP: 0]
[131,w,underground, L: 50.000000, X: -5906.600000, Y: 127.000000, TDBegin: 10493.600000, TP: 0]
[132,w,#REF!, L: 50.000000, X: -5956.600000, Y: 127.000000, TDBegin: 10543.600000, TP: 0]
[133,w,underground, L: 50.000000, X: -6006.600000, Y: 127.000000, TDBegin: 10593.600000, TP: 0]
[134,w,underground, L: 50.000000, X: -6056.600000, Y: 127.000000, TDBegin: 10643.600000, TP: 0]
[135,w,underground, L: 50.000000, X: -6106.600000, Y: 127.000000, TDBegin: 10693.600000, TP: 0]
[136,w,underground, L: 50.000000, X: -6156.600000, Y: 127.000000, TDBegin: 10743.600000, TP: 0]
[137,w,underground, L: 50.000000, X: -6206.600000, Y: 127.000000, TDBegin: 10793.600000, TP: 0]
[138,w,underground, L: 50.000000, X: -6256.600000, Y: 127.000000, TDBegin: 10843.600000, TP: 0]
[139,w,underground, L: 50.000000, X: -6306.600000, Y: 127.000000, TDBegin: 10893.600000, TP: 0]
[140,w,underground, L: 50.000000, X: -6356.600000, Y: 127.000000, TDBegin: 10943.600000, TP: 0]
[141,w,#REF!, L: 50.000000, X: -6406.600000, Y: 127.000000, TDBegin: 10993.600000, TP: 0]
[142,w,underground, L: 50.000000, X: -6456.600000, Y: 127.000000, TDBegin: 11043.600000, TP: 0]
[143,w,underground, L: 50.000000, X: -6506.600000, Y: 127.000000, TDBegin: 11093.600000, TP: 0]
[144,x,rail, L: 50.000000, X: -6556.600000, Y: 127.000000, TDBegin: 11143.600000, TP: 0]
[145,x,rail, L: 50.000000, X: -6606.600000, Y: 127.000000, TDBegin: 11193.600000, TP: 0]
[146,x,rail, L: 50.000000, X: -6656.600000, Y: 127.000000, TDBegin: 11243.600000, TP: 0]
[147,y,rail, L: 50.000000, X: -6706.600000, Y: 127.000000, TDBegin: 11293.600000, TP: 0]
[148,y,rail, L: 184.000000, X: -6706.600000, Y: 177.000000, TDBegin: 11343.600000, TP: 0]
[149,y,rail, L: 40.000000, X: -6706.600000, Y: 361.000000, TDBegin: 11527.600000, TP: 0]
[150,z,rail, L: 35.000000, X: -6706.600000, Y: 401.000000, TDBegin: 11567.600000, TP: 0]
[28,f,rail, L: 50.000000, X: -6671.600000, Y: 401.000000, TDBegin: 11602.600000, TP: 0]
[27,f,rail, L: 50.000000, X: -6671.600000, Y: 351.000000, TDBegin: 11652.600000, TP: 0]
[26,f,rail, L: 100.000000, X: -6671.600000, Y: 301.000000, TDBegin: 11702.600000, TP: 0]
[25,f,rail, L: 200.000000, X: -6671.600000, Y: 201.000000, TDBegin: 11802.600000, TP: 0]
[24,f,rail, L: 300.000000, X: -6671.600000, Y: 1.000000, TDBegin: 12002.600000, TP: 0]
[23,f,rail, L: 300.000000, X: -6671.600000, Y: -299.000000, TDBegin: 12302.600000, TP: 0]
[22,f,station, L: 300.000000, X: -6671.600000, Y: -599.000000, TDBegin: 12602.600000, TP: 0]
[21,f,rail, L: 300.000000, X: -6671.600000, Y: -899.000000, TDBegin: 12902.600000, TP: 0]
[20,e,rail, L: 150.000000, X: -6671.600000, Y: -1199.000000, TDBegin: 13202.600000, TP: 0]
[19,e,crossing, L: 150.000000, X: -6671.600000, Y: -1349.000000, TDBegin: 13352.600000, TP: 0]
[18,e,rail, L: 150.000000, X: -6671.600000, Y: -1499.000000, TDBegin: 13502.600000, TP: 0]
[17,e,rail, L: 150.000000, X: -6821.600000, Y: -1499.000000, TDBegin: 13652.600000, TP: 0]
[16,d,station, L: 150.000000, X: -6971.600000, Y: -1499.000000, TDBegin: 13802.600000, TP: 0]
[15,d,rail, L: 150.000000, X: -7121.600000, Y: -1499.000000, TDBegin: 13952.600000, TP: 0]
[14,d,rail, L: 150.000000, X: -7271.600000, Y: -1499.000000, TDBegin: 14102.600000, TP: 0]
[13,d,rail, L: 150.000000, X: -7421.600000, Y: -1499.000000, TDBegin: 14252.600000, TP: 0]
[12,c,switch, L: 100.000000, X: -7571.600000, Y: -1499.000000, TDBegin: 14402.600000, TP: 0]
[11,c,rail, L: 100.000000, X: -7471.600000, Y: -1499.000000, TDBegin: 14502.600000, TP: 0]
[10,c,rail, L: 100.000000, X: -7371.600000, Y: -1499.000000, TDBegin: 14602.600000, TP: 0]
[9,c,station, L: 100.000000, X: -7271.600000, Y: -1499.000000, TDBegin: 14702.600000, TP: 0]
[8,c,rail, L: 100.000000, X: -7271.600000, Y: -1599.000000, TDBegin: 14802.600000, TP: 0]
